epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.799,0.85731,0.54685,1.12713,1,1,0.995,0.796,0.86705,0.37763,1.53333,2.69784e-05,2.69784e-05,2.69784e-05
2,423.158,0.82976,0.52239,1.10739,1,1,0.995,0.86233,0.81127,0.32947,1.52602,5.29096e-05,5.29096e-05,5.29096e-05
3,614.887,0.82868,0.5352,1.10989,1,1,0.995,0.76283,0.91544,0.47544,1.66462,7.77716e-05,7.77716e-05,7.77716e-05
4,809.593,0.83965,0.54458,1.11253,1,1,0.995,0.82917,0.89145,0.42848,1.56406,7.61886e-05,7.61886e-05,7.61886e-05
5,1012.99,0.83584,0.54668,1.11504,0.93063,1,0.995,0.86233,0.71048,0.45699,1.38661,7.45848e-05,7.45848e-05,7.45848e-05
6,1210.79,0.83199,0.5398,1.11229,0.99042,1,0.995,0.86233,0.85188,0.40741,1.48807,7.2981e-05,7.2981e-05,7.2981e-05
7,1401.52,0.82628,0.53553,1.1097,0.98935,1,0.995,0.82917,0.86328,0.40885,1.56278,7.13772e-05,7.13772e-05,7.13772e-05
8,1593.19,0.83327,0.53859,1.11423,0.97102,1,0.995,0.796,0.82544,0.36641,1.51085,6.97734e-05,6.97734e-05,6.97734e-05
9,1783.82,0.83349,0.52969,1.11314,1,1,0.995,0.86233,0.72077,0.38368,1.48168,6.81696e-05,6.81696e-05,6.81696e-05
10,1973.67,0.83357,0.53487,1.1124,0.9736,1,0.995,0.86233,0.76256,0.34927,1.45342,6.65658e-05,6.65658e-05,6.65658e-05
11,2163.91,0.83021,0.52616,1.10931,1,1,0.995,0.86233,0.71859,0.39421,1.43133,6.4962e-05,6.4962e-05,6.4962e-05
12,2355.31,0.82596,0.52498,1.10736,1,1,0.995,0.796,0.98242,0.43366,1.65181,6.33582e-05,6.33582e-05,6.33582e-05
13,2546.06,0.82175,0.51505,1.10508,0.99054,1,0.995,0.86233,0.81064,0.447,1.51632,6.17544e-05,6.17544e-05,6.17544e-05
14,2738.35,0.81441,0.51742,1.10649,1,1,0.995,0.76283,0.92703,0.44845,1.65767,6.01506e-05,6.01506e-05,6.01506e-05
15,2931.08,0.81978,0.51104,1.10791,1,1,0.995,0.796,0.95772,0.43439,1.58919,5.85468e-05,5.85468e-05,5.85468e-05
16,3121.97,0.8082,0.50233,1.09978,1,1,0.995,0.796,0.85636,0.35859,1.48368,5.6943e-05,5.6943e-05,5.6943e-05
17,3312.65,0.82073,0.51112,1.1049,1,1,0.995,0.82917,0.84272,0.35362,1.50842,5.53392e-05,5.53392e-05,5.53392e-05
18,3503.17,0.86116,0.54494,1.125,1,1,0.995,0.796,1.02075,0.47198,1.7632,5.37354e-05,5.37354e-05,5.37354e-05
19,3693.92,0.86831,0.54895,1.13003,1,1,0.995,0.76283,1.06726,0.41528,1.75381,5.21316e-05,5.21316e-05,5.21316e-05
20,3885.31,0.86208,0.53628,1.12459,1,1,0.995,0.76283,0.95776,0.36358,1.66846,5.05278e-05,5.05278e-05,5.05278e-05
21,4077.09,0.85842,0.53855,1.12679,1,1,0.995,0.82917,0.79573,0.36156,1.47848,4.8924e-05,4.8924e-05,4.8924e-05
22,4267.61,0.85447,0.52642,1.12303,1,1,0.995,0.76283,1.00769,0.42958,1.72322,4.73202e-05,4.73202e-05,4.73202e-05
23,4463.55,0.84291,0.51957,1.11354,1,1,0.995,0.82917,0.82388,0.37414,1.44448,4.57164e-05,4.57164e-05,4.57164e-05
24,4667.43,0.84628,0.52256,1.12061,1,1,0.995,0.86233,0.72269,0.3885,1.41631,4.41126e-05,4.41126e-05,4.41126e-05
25,4858.97,0.84717,0.51883,1.11862,1,1,0.995,0.82917,0.81027,0.40588,1.47409,4.25088e-05,4.25088e-05,4.25088e-05
26,5048.78,0.86671,0.53314,1.12567,1,1,0.995,0.82917,0.80858,0.38835,1.44077,4.0905e-05,4.0905e-05,4.0905e-05
27,5237.69,0.86334,0.52555,1.12888,1,1,0.995,0.796,0.99902,0.39467,1.6012,3.93012e-05,3.93012e-05,3.93012e-05
28,5426.86,0.85887,0.52677,1.12178,1,1,0.995,0.76283,0.95328,0.3888,1.56967,3.76974e-05,3.76974e-05,3.76974e-05
29,5616.53,0.85473,0.51959,1.12196,1,1,0.995,0.82917,0.80275,0.42385,1.4655,3.60936e-05,3.60936e-05,3.60936e-05
30,5805.44,0.85063,0.51244,1.11557,1,1,0.995,0.82917,0.82667,0.37435,1.46154,3.44898e-05,3.44898e-05,3.44898e-05
31,5992.52,0.84655,0.51652,1.11557,1,1,0.995,0.796,0.81384,0.38046,1.44602,3.2886e-05,3.2886e-05,3.2886e-05
32,6185.67,0.84335,0.50866,1.11762,1,1,0.995,0.76283,0.86017,0.38136,1.50364,3.12822e-05,3.12822e-05,3.12822e-05
33,6377.01,0.84745,0.50872,1.11554,1,1,0.995,0.796,0.8793,0.38261,1.5393,2.96784e-05,2.96784e-05,2.96784e-05
34,6568.48,0.83392,0.50263,1.1117,1,1,0.995,0.796,0.8162,0.38264,1.47353,2.80746e-05,2.80746e-05,2.80746e-05
35,6758.03,0.8397,0.50224,1.11422,1,1,0.995,0.72967,0.87413,0.41991,1.53713,2.64708e-05,2.64708e-05,2.64708e-05
36,6950.35,0.82537,0.49158,1.106,0.96981,1,0.995,0.86233,0.79506,0.34295,1.44838,2.4867e-05,2.4867e-05,2.4867e-05
37,7141.93,0.82271,0.48896,1.1032,1,1,0.995,0.82917,0.80328,0.37665,1.5042,2.32632e-05,2.32632e-05,2.32632e-05
38,7334.17,0.82043,0.48451,1.10263,1,1,0.995,0.796,0.89648,0.3713,1.54834,2.16594e-05,2.16594e-05,2.16594e-05
39,7526.27,0.8209,0.48478,1.10649,1,1,0.995,0.82917,0.87209,0.36283,1.52673,2.00556e-05,2.00556e-05,2.00556e-05
40,7719.2,0.81961,0.47939,1.10228,1,1,0.995,0.76283,0.9545,0.40372,1.58776,1.84518e-05,1.84518e-05,1.84518e-05
41,7938.79,0.76796,0.34814,1.11106,1,1,0.995,0.82917,0.92009,0.38564,1.53222,1.6848e-05,1.6848e-05,1.6848e-05
42,8130.89,0.76381,0.34484,1.10862,1,1,0.995,0.796,0.89526,0.36156,1.50915,1.52442e-05,1.52442e-05,1.52442e-05
43,8321.92,0.7548,0.33826,1.09963,1,1,0.995,0.86233,0.84951,0.371,1.47314,1.36404e-05,1.36404e-05,1.36404e-05
44,8514.1,0.75251,0.33686,1.1003,1,1,0.995,0.82917,0.87696,0.35758,1.50533,1.20366e-05,1.20366e-05,1.20366e-05
45,8705.97,0.74676,0.33254,1.09448,1,1,0.995,0.82917,0.8703,0.35658,1.50835,1.04328e-05,1.04328e-05,1.04328e-05
46,8896.4,0.73771,0.32954,1.09158,1,1,0.995,0.82917,0.86832,0.36303,1.48621,8.829e-06,8.829e-06,8.829e-06
47,9085.5,0.73512,0.32714,1.08714,1,1,0.995,0.82917,0.89488,0.35914,1.50795,7.2252e-06,7.2252e-06,7.2252e-06
48,9273.75,0.7348,0.32576,1.0886,1,1,0.995,0.82917,0.90333,0.35247,1.51739,5.6214e-06,5.6214e-06,5.6214e-06
49,9461.99,0.73361,0.32664,1.08786,1,1,0.995,0.82917,0.86274,0.36513,1.48465,4.0176e-06,4.0176e-06,4.0176e-06
50,9651.08,0.72994,0.32384,1.08576,1,1,0.995,0.82917,0.86997,0.34752,1.48307,2.4138e-06,2.4138e-06,2.4138e-06
